epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44564,1.4149,5.18479,1.64652,0.00354,0.49444,0.02492,0.00749,1.05704,4.4226,1.28519,2e-05,2e-05,2e-05
2,4.25251,1.32601,4.39233,1.60564,0.00297,0.53333,0.0249,0.0088,0.99507,4.42376,1.23271,4.901e-05,4.901e-05,4.901e-05
3,5.15908,1.29871,4.49835,1.44823,0.00242,0.48889,0.08823,0.06066,0.88928,4.40947,1.19546,7.6832e-05,7.6832e-05,7.6832e-05
4,5.99147,1.24709,4.12472,1.43979,0.0024,0.48889,0.1324,0.10054,0.78927,4.31386,1.13101,0.000103466,0.000103466,0.000103466
5,6.8999,0.98058,3.93454,1.2839,0.00276,0.48889,0.15434,0.12361,0.74018,4.27954,1.09344,0.000128912,0.000128912,0.000128912
6,7.7376,0.99935,3.81533,1.35664,0.00312,0.51111,0.19567,0.14857,0.76973,4.21338,1.08552,0.00015317,0.00015317,0.00015317
7,8.54663,0.89192,3.59267,1.17098,0.00367,0.51111,0.24931,0.20309,0.72466,4.1097,1.06787,0.00017624,0.00017624,0.00017624
8,9.36317,0.87634,3.485,1.16077,0.00404,0.53333,0.27352,0.2348,0.67977,4.04591,1.04106,0.000198122,0.000198122,0.000198122
9,10.2071,0.95715,3.44482,1.23707,0.00478,0.57778,0.29428,0.24156,0.63834,3.88967,1.02068,0.000218816,0.000218816,0.000218816
10,11.0256,0.89936,3.08666,1.17508,0.00517,0.59316,0.31245,0.27327,0.64022,3.78264,1.01913,0.000238322,0.000238322,0.000238322
11,11.8421,0.70222,2.54443,1.05331,0.91143,0.24157,0.29622,0.24959,0.64425,3.59278,1.00351,0.00025664,0.00025664,0.00025664
12,12.6353,0.72591,2.34283,1.05094,0.95976,0.06627,0.30427,0.22868,0.64209,3.52993,1.0039,0.00027377,0.00027377,0.00027377
13,13.4391,0.69963,2.53994,1.05467,0.95044,0.10133,0.32244,0.21176,0.66262,3.5193,1.03414,0.000289712,0.000289712,0.000289712
14,17.7232,0.73145,2.25148,1.12117,0.96547,0.1285,0.35505,0.21659,0.71523,3.5513,1.05474,0.000304466,0.000304466,0.000304466
15,18.6365,0.83882,2.9616,1.14027,0.8609,0.03333,0.23061,0.15039,0.81497,3.54757,1.10625,0.000318032,0.000318032,0.000318032
16,19.529,0.78496,2.44604,1.07005,0.92565,0.1,0.25032,0.17808,0.78414,3.52798,1.11029,0.00033041,0.00033041,0.00033041
17,20.4123,0.66146,2.16564,1.07118,0.9273,0.23515,0.5246,0.43609,0.74738,3.2624,1.06137,0.0003416,0.0003416,0.0003416
18,21.2855,0.81728,2.31391,1.09354,0.86005,0.35742,0.58806,0.5006,0.68495,3.07289,1.00578,0.000351602,0.000351602,0.000351602
19,22.1202,0.7866,2.16303,1.06108,0.83519,0.36889,0.59672,0.51939,0.6523,2.88631,0.98973,0.000360416,0.000360416,0.000360416
20,22.9224,0.71854,2.06536,1.00205,0.87851,0.37158,0.62024,0.55451,0.6277,2.76939,0.97514,0.000368042,0.000368042,0.000368042
21,23.7169,0.6068,1.83337,0.97358,0.87581,0.28889,0.63334,0.56525,0.58769,2.7671,0.9656,0.00037448,0.00037448,0.00037448
22,24.5261,0.60287,1.75086,0.99005,0.87014,0.3484,0.6364,0.55491,0.60725,2.762,0.9613,0.00037973,0.00037973,0.00037973
23,25.3151,0.69742,1.74816,1.04181,0.86629,0.3426,0.7312,0.62505,0.62367,2.73701,0.96816,0.000383792,0.000383792,0.000383792
24,26.1738,0.70138,1.93336,1.03038,0.81683,0.37705,0.77437,0.61102,0.66918,2.72506,1.01483,0.000386666,0.000386666,0.000386666
25,26.9517,0.55742,1.922,0.93809,0.86318,0.35685,0.82028,0.63092,0.69912,2.69183,1.07289,0.000388352,0.000388352,0.000388352
26,27.7368,0.69796,1.80529,1.06375,0.86934,0.39,0.85039,0.67975,0.72064,2.60547,1.12838,0.00038885,0.00038885,0.00038885
27,28.5312,0.66074,1.86651,1.01468,0.85352,0.4,0.85867,0.71129,0.7068,2.50072,1.14169,0.00038816,0.00038816,0.00038816
28,29.3256,0.57129,1.86819,0.95367,0.83016,0.47679,0.87826,0.73369,0.70875,2.3415,1.12149,0.000386282,0.000386282,0.000386282
29,30.1063,0.64663,1.70102,1.03863,0.83016,0.47679,0.87826,0.73369,0.70875,2.3415,1.12149,0.000383216,0.000383216,0.000383216
30,30.911,0.57117,1.46018,0.95687,0.85,0.54404,0.87404,0.75318,0.67023,2.26643,1.04871,0.000378962,0.000378962,0.000378962
31,31.6971,0.70156,1.535,0.98651,0.92223,0.57347,0.87783,0.77756,0.61058,2.20992,0.97145,0.00037352,0.00037352,0.00037352
32,32.4888,0.55848,1.6553,0.98213,0.90396,0.64466,0.9112,0.78804,0.61423,2.10293,0.95752,0.00036689,0.00036689,0.00036689
33,33.253,0.62033,1.55192,0.94249,0.90396,0.64466,0.9112,0.78804,0.61423,2.10293,0.95752,0.000359072,0.000359072,0.000359072
34,34.1109,0.60509,1.46281,0.94324,0.9164,0.78887,0.9707,0.83188,0.53742,1.92684,0.91662,0.0003466,0.0003466,0.0003466
35,34.9043,0.57763,1.49428,0.95,0.91778,0.78155,0.97323,0.84658,0.50987,1.77114,0.90566,0.0003268,0.0003268,0.0003268
36,35.7074,0.58753,1.3546,0.93219,0.9063,0.80702,0.97809,0.85007,0.51411,1.5877,0.90124,0.000307,0.000307,0.000307
37,36.4819,0.52049,1.28404,0.93213,0.9063,0.80702,0.97809,0.85007,0.51411,1.5877,0.90124,0.0002872,0.0002872,0.0002872
38,37.2743,0.60534,1.70819,0.98152,0.8461,0.79519,0.97611,0.84915,0.53517,1.47441,0.91101,0.0002674,0.0002674,0.0002674
39,38.0485,0.47768,1.25436,0.90985,0.81603,0.86679,0.98304,0.85733,0.52336,1.35084,0.90581,0.0002476,0.0002476,0.0002476
40,38.8309,0.54627,1.42217,0.92848,0.88751,0.85153,0.99093,0.87656,0.49189,1.24581,0.88934,0.0002278,0.0002278,0.0002278
41,40.1159,0.52386,1.75834,0.9325,0.88751,0.85153,0.99093,0.87656,0.49189,1.24581,0.88934,0.000208,0.000208,0.000208
42,40.9201,0.51351,1.89408,0.88096,0.89165,0.88137,0.9928,0.88326,0.4699,1.19707,0.87971,0.0001882,0.0001882,0.0001882
43,41.7125,0.39725,1.67078,0.88024,0.8946,0.92595,0.995,0.89403,0.45138,1.22135,0.87226,0.0001684,0.0001684,0.0001684
44,42.6239,0.44193,1.55407,0.86973,0.90109,0.9373,0.994,0.89164,0.45731,1.28688,0.8782,0.0001486,0.0001486,0.0001486
45,43.3993,0.45337,1.88595,0.9041,0.90109,0.9373,0.994,0.89164,0.45731,1.28688,0.8782,0.0001288,0.0001288,0.0001288
46,44.192,0.444,1.69985,0.94118,0.9215,0.9487,0.994,0.89175,0.45808,1.31921,0.88161,0.000109,0.000109,0.000109
47,45.0124,0.42702,2.59364,0.89879,0.93973,0.9611,0.994,0.87861,0.43473,1.31712,0.87963,8.92e-05,8.92e-05,8.92e-05
48,45.7902,0.46811,2.03068,0.88844,0.92847,0.97055,0.994,0.88777,0.42533,1.28124,0.87856,6.94e-05,6.94e-05,6.94e-05
49,46.5519,0.4092,1.79468,0.86127,0.92847,0.97055,0.994,0.88777,0.42533,1.28124,0.87856,4.96e-05,4.96e-05,4.96e-05
50,47.3327,0.45436,1.71929,0.86818,0.94572,0.97165,0.994,0.87826,0.43072,1.22019,0.87797,2.98e-05,2.98e-05,2.98e-05
